runde_nr,parti_valgt_2013,omtaler_parti,kategori,andel,konfidensintervall_fra,konfidensintervall_til,N
1,FRP,KRF,Misliker,0.5134615,0.4703669,0.5563569,520
1,FRP,KRF,Nøytral,0.2596154,0.223626,0.2991649,520
1,FRP,KRF,Liker,0.2269231,0.1928411,0.2650506,520
2,FRP,KRF,Misliker,0.6060606,0.5545943,0.6552765,363
2,FRP,KRF,Nøytral,0.1707989,0.135331,0.2132696,363
2,FRP,KRF,Liker,0.2231405,0.1830667,0.269097,363
3,FRP,KRF,Misliker,0.5562579,0.5213413,0.5906275,791
3,FRP,KRF,Nøytral,0.2680152,0.2382326,0.3000544,791
3,FRP,KRF,Liker,0.1757269,0.150706,0.2039046,791
4,FRP,KRF,Misliker,0.655536,0.6153912,0.6935771,569
4,FRP,KRF,Nøytral,0.2073814,0.1759462,0.2427782,569
4,FRP,KRF,Liker,0.1370826,0.1111195,0.1679656,569
5,FRP,KRF,Misliker,0.6833977,0.641914,0.7221557,518
5,FRP,KRF,Nøytral,0.1988417,0.1665852,0.2355786,518
5,FRP,KRF,Liker,0.11776059999999999,0.0926359,0.1485838,518
6,FRP,KRF,Misliker,0.7157464,0.6739861,0.7541091,489
6,FRP,KRF,Nøytral,0.1820041,0.1501604,0.2188616,489
6,FRP,KRF,Liker,0.1022495,0.0782732,0.1325143,489
7,FRP,KRF,Misliker,0.713964,0.6699786,0.7542374,444
7,FRP,KRF,Nøytral,0.1869369,0.1532224,0.2260892,444
7,FRP,KRF,Liker,0.0990991,0.0744829,0.1307019,444
9,FRP,KRF,Misliker,0.6674817,0.6201631,0.7116463,409
9,FRP,KRF,Nøytral,0.207824,0.1710863,0.2500704,409
9,FRP,KRF,Liker,0.1246944,0.09593,0.1605521,409
1,FRP,AP,Misliker,0.6377649,0.5953411,0.6781456,519
1,FRP,AP,Nøytral,0.1522158,0.1237257,0.1858746,519
1,FRP,AP,Liker,0.2100193,0.177012,0.2473317,519
2,FRP,AP,Misliker,0.6260388,0.5746985,0.6746896,361
2,FRP,AP,Nøytral,0.1689751,0.1335994,0.2114319,361
2,FRP,AP,Liker,0.2049861,0.166288,0.2499896,361
3,FRP,AP,Misliker,0.5372946,0.5023467,0.5718798,791
3,FRP,AP,Nøytral,0.1845765,0.1590032,0.2132201,791
3,FRP,AP,Liker,0.278129,0.2479406,0.3104755,791
4,FRP,AP,Misliker,0.5633803,0.5221298,0.6037722,568
4,FRP,AP,Nøytral,0.1725352,0.1435548,0.2059592,568
4,FRP,AP,Liker,0.2640845,0.229355,0.302012,568
5,FRP,AP,Misliker,0.5600775,0.5167621,0.6024969,516
5,FRP,AP,Nøytral,0.1647287,0.1350719,0.1993959,516
5,FRP,AP,Liker,0.2751938,0.2382559,0.3154866,516
6,FRP,AP,Misliker,0.6290984,0.585169,0.6709913,488
6,FRP,AP,Nøytral,0.1536885,0.1242445,0.1886075,488
6,FRP,AP,Liker,0.2172131,0.1827382,0.2561534,488
7,FRP,AP,Misliker,0.6089888,0.5626508,0.6534411,445
7,FRP,AP,Nøytral,0.1707865,0.1384875,0.2087929,445
7,FRP,AP,Liker,0.2202247,0.1840072,0.2612882,445
9,FRP,AP,Misliker,0.6633907,0.6158528,0.7078366,407
9,FRP,AP,Nøytral,0.1547912,0.1226862,0.193445,407
9,FRP,AP,Liker,0.1818182,0.1471628,0.2225054,407
1,FRP,Høyre,Misliker,0.0674374,0.0487563,0.0925795,519
1,FRP,Høyre,Nøytral,0.0867052,0.0652968,0.1142744,519
1,FRP,Høyre,Liker,0.8458574,0.8120556,0.8745194,519
2,FRP,Høyre,Misliker,0.0614525,0.0407197,0.0917321,358
2,FRP,Høyre,Nøytral,0.0642458,0.0429778,0.0949939,358
2,FRP,Høyre,Liker,0.8743017,0.8355614,0.9049533,358
3,FRP,Høyre,Misliker,0.1403061,0.1176641,0.1664831,784
3,FRP,Høyre,Nøytral,0.1135204,0.0930951,0.1377464,784
3,FRP,Høyre,Liker,0.7461735,0.7144534,0.7754773,784
4,FRP,Høyre,Misliker,0.1851852,0.1552318,0.2194171,567
4,FRP,Høyre,Nøytral,0.1040564,0.0814104,0.1320961,567
4,FRP,Høyre,Liker,0.7107584,0.6719424,0.7467128,567
5,FRP,Høyre,Misliker,0.120155,0.094729,0.1512653,516
5,FRP,Høyre,Nøytral,0.122093,0.0964611,0.1533797,516
5,FRP,Høyre,Liker,0.7577519,0.7187637,0.7928926,516
6,FRP,Høyre,Misliker,0.1129363,0.0876491,0.1443647,487
6,FRP,Høyre,Nøytral,0.0903491,0.0678449,0.1193621,487
6,FRP,Høyre,Liker,0.7967146,0.75849,0.8302432,487
7,FRP,Høyre,Misliker,0.1557562,0.1247779,0.1927318,443
7,FRP,Høyre,Nøytral,0.1106095,0.0845109,0.1435044,443
7,FRP,Høyre,Liker,0.7336343,0.6903317,0.7728739,443
9,FRP,Høyre,Misliker,0.1083744,0.081533,0.1426794,406
9,FRP,Høyre,Nøytral,0.0935961,0.0687615,0.1261848,406
9,FRP,Høyre,Liker,0.7980296,0.75597,0.8344277,406
1,FRP,FRP,Misliker,0.0134875,0.0064275,0.0280831,519
1,FRP,FRP,Nøytral,0.0289017,0.017468,0.0474579,519
1,FRP,FRP,Liker,0.9576108,0.9363816,0.971968,519
2,FRP,FRP,Misliker,0.0247934,0.0129097,0.0470944,363
2,FRP,FRP,Nøytral,0.0358127,0.0208525,0.0608387,363
2,FRP,FRP,Liker,0.9393939,0.9095096,0.9598447,363
3,FRP,FRP,Misliker,0.0847029,0.0671746,0.1062839,791
3,FRP,FRP,Nøytral,0.05689,0.0427141,0.0754,791
3,FRP,FRP,Liker,0.8584071,0.8322696,0.8810537,791
4,FRP,FRP,Misliker,0.1481481,0.1211482,0.1799335,567
4,FRP,FRP,Nøytral,0.0582011,0.0416256,0.0808203,567
4,FRP,FRP,Liker,0.7936508,0.7582415,0.8250703,567
5,FRP,FRP,Misliker,0.0559846,0.0391318,0.0794947,518
5,FRP,FRP,Nøytral,0.0656371,0.0472179,0.0905585,518
5,FRP,FRP,Liker,0.8783784,0.8472011,0.9039157,518
6,FRP,FRP,Misliker,0.0490798,0.0330637,0.072274,489
6,FRP,FRP,Nøytral,0.0368098,0.0232744,0.0577515,489
6,FRP,FRP,Liker,0.9141104,0.8856907,0.9359752,489
7,FRP,FRP,Misliker,0.0859729,0.06311,0.116092,442
7,FRP,FRP,Nøytral,0.0701357,0.0496855,0.098134,442
7,FRP,FRP,Liker,0.8438914,0.8068425,0.8749356,442
9,FRP,FRP,Misliker,0.0757946,0.0537269,0.1059118,409
9,FRP,FRP,Nøytral,0.0415648,0.025941,0.0659614,409
9,FRP,FRP,Liker,0.8826406,0.8475217,0.9105248,409
1,FRP,Venstre,Misliker,0.450677,0.4081171,0.493971,517
1,FRP,Venstre,Nøytral,0.3268859,0.2876801,0.3686694,517
1,FRP,Venstre,Liker,0.2224371,0.1885475,0.2604629,517
2,FRP,Venstre,Misliker,0.5418994,0.4897731,0.5931244,358
2,FRP,Venstre,Nøytral,0.2513966,0.2089764,0.2991711,358
2,FRP,Venstre,Liker,0.2067039,0.1677097,0.2520193,358
3,FRP,Venstre,Misliker,0.5356234,0.5005636,0.5703347,786
3,FRP,Venstre,Nøytral,0.2989822,0.267923,0.3320091,786
3,FRP,Venstre,Liker,0.1653944,0.1409768,0.1930906,786
4,FRP,Venstre,Misliker,0.5992908,0.5581323,0.6390945,564
4,FRP,Venstre,Nøytral,0.2393617,0.2058398,0.2764424,564
4,FRP,Venstre,Liker,0.1613475,0.1331633,0.1941608,564
5,FRP,Venstre,Misliker,0.6439689,0.6014432,0.6843385,514
5,FRP,Venstre,Nøytral,0.2392996,0.204269,0.2782371,514
5,FRP,Venstre,Liker,0.1167315,0.0916308,0.147591,514
6,FRP,Venstre,Misliker,0.7622951,0.7223486,0.7981008,488
6,FRP,Venstre,Nøytral,0.1762295,0.1448244,0.2127506,488
6,FRP,Venstre,Liker,0.0614754,0.0432583,0.0866692,488
7,FRP,Venstre,Misliker,0.7437642,0.700777,0.7824925,441
7,FRP,Venstre,Nøytral,0.1746032,0.1418319,0.2130665,441
7,FRP,Venstre,Liker,0.0816327,0.0593809,0.1112368,441
9,FRP,Venstre,Misliker,0.7804878,0.7376282,0.8180729,410
9,FRP,Venstre,Nøytral,0.1585366,0.1261667,0.1973359,410
9,FRP,Venstre,Liker,0.0609756,0.0414639,0.0888181,410
1,FRP,SP,Misliker,0.5810811,0.5379499,0.6230076,518
1,FRP,SP,Nøytral,0.3050193,0.2667512,0.3461854,518
1,FRP,SP,Liker,0.1138996,0.0891969,0.1443594,518
2,FRP,SP,Misliker,0.6565097,0.6057578,0.7039215,361
2,FRP,SP,Nøytral,0.2160665,0.1764511,0.2617491,361
2,FRP,SP,Liker,0.1274238,0.0966715,0.1661594,361
3,FRP,SP,Misliker,0.5568327,0.5217383,0.5913688,783
3,FRP,SP,Nøytral,0.3103448,0.2788365,0.3437166,783
3,FRP,SP,Liker,0.1328225,0.1107536,0.1585051,783
4,FRP,SP,Misliker,0.642984,0.602384,0.6816294,563
4,FRP,SP,Nøytral,0.2309059,0.1978455,0.2676474,563
4,FRP,SP,Liker,0.1261101,0.101071,0.156274,563
5,FRP,SP,Misliker,0.498062,0.4548997,0.5412532,516
5,FRP,SP,Nøytral,0.2926357,0.2548534,0.3335121,516
5,FRP,SP,Liker,0.2093023,0.1762538,0.2466918,516
6,FRP,SP,Misliker,0.5411523,0.4964837,0.5851691,486
6,FRP,SP,Nøytral,0.2839506,0.2454897,0.325835,486
6,FRP,SP,Liker,0.1748971,0.1435424,0.2114102,486
7,FRP,SP,Misliker,0.4864865,0.4400678,0.5331395,444
7,FRP,SP,Nøytral,0.3198198,0.27792,0.3648448,444
7,FRP,SP,Liker,0.1936937,0.1594313,0.2332758,444
9,FRP,SP,Misliker,0.4852217,0.4366959,0.5340277,406
9,FRP,SP,Nøytral,0.2536946,0.2135768,0.2984879,406
9,FRP,SP,Liker,0.2610837,0.2205022,0.3062002,406
1,FRP,SV,Misliker,0.7911025,0.7537732,0.8240932,517
1,FRP,SV,Nøytral,0.1740812,0.1436794,0.2093433,517
1,FRP,SV,Liker,0.0348162,0.0220096,0.0546583,517
2,FRP,SV,Misliker,0.8484848,0.8076011,0.8819509,363
2,FRP,SV,Nøytral,0.1157025,0.0865187,0.1530806,363
2,FRP,SV,Liker,0.0358127,0.0208525,0.0608387,363
3,FRP,SV,Misliker,0.797967,0.768392,0.8246273,787
3,FRP,SV,Nøytral,0.1562897,0.1325136,0.1834297,787
3,FRP,SV,Liker,0.0457433,0.0331496,0.0628107,787
4,FRP,SV,Misliker,0.8515901,0.819755,0.8786349,566
4,FRP,SV,Nøytral,0.1183746,0.0941739,0.1477796,566
4,FRP,SV,Liker,0.0300353,0.0187246,0.0478452,566
5,FRP,SV,Misliker,0.8430233,0.8089069,0.8720124,516
5,FRP,SV,Nøytral,0.120155,0.094729,0.1512653,516
5,FRP,SV,Liker,0.0368217,0.0235721,0.0570834,516
6,FRP,SV,Misliker,0.8650307,0.8316564,0.8926426,489
6,FRP,SV,Nøytral,0.1124744,0.0872866,0.1437856,489
6,FRP,SV,Liker,0.0224949,0.0124744,0.0402368,489
7,FRP,SV,Misliker,0.867713,0.8328421,0.896216,446
7,FRP,SV,Nøytral,0.1053812,0.080008,0.1375975,446
7,FRP,SV,Liker,0.0269058,0.0153087,0.0468703,446
9,FRP,SV,Misliker,0.8553922,0.817646,0.8864105,408
9,FRP,SV,Nøytral,0.1078431,0.0811289,0.1419946,408
9,FRP,SV,Liker,0.0367647,0.0222359,0.060202,408
1,FRP,MDG,Misliker,0.522158,0.4789837,0.5650037,519
1,FRP,MDG,Nøytral,0.3256262,0.2865429,0.367296,519
1,FRP,MDG,Liker,0.1522158,0.1237257,0.1858746,519
2,FRP,MDG,Misliker,0.5467033,0.4950056,0.5974129,364
2,FRP,MDG,Nøytral,0.3049451,0.259599,0.3544204,364
2,FRP,MDG,Liker,0.1483516,0.1152736,0.1888949,364
3,FRP,MDG,Misliker,0.5610687,0.5260562,0.5954836,786
3,FRP,MDG,Nøytral,0.2748092,0.2446596,0.3071632,786
3,FRP,MDG,Liker,0.1641221,0.1397905,0.1917449,786
4,FRP,MDG,Misliker,0.5762411,0.5349035,0.6165386,564
4,FRP,MDG,Nøytral,0.2712766,0.2360716,0.3096039,564
4,FRP,MDG,Liker,0.1524823,0.1250408,0.1846749,564
5,FRP,MDG,Misliker,0.7868217,0.7492275,0.8201331,516
5,FRP,MDG,Nøytral,0.124031,0.0981956,0.1554918,516
5,FRP,MDG,Liker,0.0891473,0.0673648,0.1170889,516
6,FRP,MDG,Misliker,0.8436214,0.8084211,0.8733672,486
6,FRP,MDG,Nøytral,0.1131687,0.0878315,0.144656,486
6,FRP,MDG,Liker,0.0432099,0.0282965,0.0654536,486
7,FRP,MDG,Misliker,0.8516854,0.8153949,0.8818753,445
7,FRP,MDG,Nøytral,0.1033708,0.0782271,0.135409,445
7,FRP,MDG,Liker,0.0449438,0.0291266,0.0687424,445
9,FRP,MDG,Misliker,0.8292683,0.7895349,0.862804,410
9,FRP,MDG,Nøytral,0.1121951,0.0849826,0.1467241,410
9,FRP,MDG,Liker,0.0585366,0.039474,0.0859807,410
1,Alle,KrF,Misliker,0.4319,0.4141,0.4498,4643
1,Alle,KrF,Nøytral,0.2655,0.2498,0.2817,4643
1,Alle,KrF,Liker,0.3026,0.2867,0.3191,4643
1,Alle,FrP,Misliker,0.5117,0.4938,0.5297,4633
1,Alle,FrP,Nøytral,0.1121,0.1011,0.1242,4633
1,Alle,FrP,Liker,0.3761,0.3586,0.394,4633
1,Alle,Høyre,Misliker,0.257,0.2415,0.2731,4670
1,Alle,Høyre,Nøytral,0.1412,0.1288,0.1547,4670
1,Alle,Høyre,Liker,0.6018,0.584,0.6193,4670
1,Alle,Venstre,Misliker,0.289,0.2728,0.3057,4627
1,Alle,Venstre,Nøytral,0.3197,0.3028,0.337,4627
1,Alle,Venstre,Liker,0.3914,0.3742,0.4088,4627
1,Alle,SV,Misliker,0.4897,0.4717,0.5077,4613
1,Alle,SV,Nøytral,0.2307,0.2153,0.2469,4613
1,Alle,SV,Liker,0.2796,0.264,0.2956,4613
1,Alle,Sp,Misliker,0.3916,0.3743,0.4093,4614
1,Alle,Sp,Nøytral,0.3493,0.332,0.367,4614
1,Alle,Sp,Liker,0.259,0.2439,0.2748,4614
1,Alle,MDG,Misliker,0.318,0.3014,0.335,4613
1,Alle,MDG,Nøytral,0.3549,0.3377,0.3725,4613
1,Alle,MDG,Liker,0.3271,0.3107,0.344,4613
1,Alle,Ap,Misliker,0.2698,0.2542,0.2859,4675
1,Alle,Ap,Nøytral,0.1448,0.1319,0.1586,4675
1,Alle,Ap,Liker,0.5854,0.5676,0.6031,4675
2,Alle,KrF,Misliker,0.5445,0.5217,0.5671,3314
2,Alle,KrF,Nøytral,0.2104,0.1924,0.2296,3314
2,Alle,KrF,Liker,0.2451,0.2263,0.2649,3314
2,Alle,Høyre,Misliker,0.2969,0.2757,0.319,3305
2,Alle,Høyre,Nøytral,0.1304,0.1141,0.1486,3305
2,Alle,Høyre,Liker,0.5727,0.5494,0.5957,3305
2,Alle,FrP,Misliker,0.5458,0.523,0.5684,3316
2,Alle,FrP,Nøytral,0.1168,0.1016,0.134,3316
2,Alle,FrP,Liker,0.3374,0.3167,0.3587,3316
2,Alle,Venstre,Misliker,0.3353,0.3138,0.3574,3305
2,Alle,Venstre,Nøytral,0.2875,0.2672,0.3088,3305
2,Alle,Venstre,Liker,0.3772,0.3554,0.3995,3305
2,Alle,SV,Misliker,0.5286,0.5056,0.5515,3313
2,Alle,SV,Nøytral,0.2038,0.1848,0.2242,3313
2,Alle,SV,Liker,0.2676,0.2475,0.2887,3313
2,Alle,Sp,Misliker,0.4662,0.4438,0.4888,3302
2,Alle,Sp,Nøytral,0.3182,0.2962,0.341,3302
2,Alle,Sp,Liker,0.2156,0.1983,0.234,3302
2,Alle,MDG,Misliker,0.3179,0.2972,0.3394,3316
2,Alle,MDG,Nøytral,0.3496,0.3275,0.3723,3316
2,Alle,MDG,Liker,0.3325,0.3126,0.353,3316
2,Alle,Ap,Misliker,0.279,0.2595,0.2994,3317
2,Alle,Ap,Nøytral,0.1403,0.1251,0.1569,3317
2,Alle,Ap,Liker,0.5808,0.5582,0.603,3317
3,Alle,KrF,Misliker,0.4493,0.4355,0.4632,8106
3,Alle,KrF,Nøytral,0.284,0.2712,0.2971,8106
3,Alle,KrF,Liker,0.2667,0.2549,0.2788,8106
3,Alle,Høyre,Misliker,0.365,0.3516,0.3787,8125
3,Alle,Høyre,Nøytral,0.144,0.1335,0.1552,8125
3,Alle,Høyre,Liker,0.4909,0.477,0.5049,8125
3,Alle,FrP,Misliker,0.5707,0.5568,0.5846,8123
3,Alle,FrP,Nøytral,0.1209,0.1112,0.1314,8123
3,Alle,FrP,Liker,0.3084,0.2957,0.3213,8123
3,Alle,Venstre,Misliker,0.3248,0.3116,0.3382,8091
3,Alle,Venstre,Nøytral,0.3204,0.3072,0.3338,8091
3,Alle,Venstre,Liker,0.3549,0.342,0.3679,8091
3,Alle,SV,Misliker,0.4919,0.478,0.5059,8089
3,Alle,SV,Nøytral,0.2415,0.2295,0.2539,8089
3,Alle,SV,Liker,0.2666,0.2548,0.2788,8089
3,Alle,Sp,Misliker,0.3797,0.3663,0.3933,8072
3,Alle,Sp,Nøytral,0.3629,0.3493,0.3767,8072
3,Alle,Sp,Liker,0.2574,0.2458,0.2695,8072
3,Alle,MDG,Misliker,0.2985,0.2857,0.3116,8078
3,Alle,MDG,Nøytral,0.348,0.3346,0.3617,8078
3,Alle,MDG,Liker,0.3535,0.3406,0.3667,8078
3,Alle,Ap,Misliker,0.235,0.2233,0.2472,8151
3,Alle,Ap,Nøytral,0.1437,0.1336,0.1544,8151
3,Alle,Ap,Liker,0.6213,0.6075,0.6349,8151
4,Alle,KrF,Misliker,0.4533,0.4367,0.47,6172
4,Alle,KrF,Nøytral,0.2654,0.2507,0.2806,6172
4,Alle,KrF,Liker,0.2813,0.2669,0.2962,6172
4,Alle,Høyre,Misliker,0.3934,0.3771,0.41,6167
4,Alle,Høyre,Nøytral,0.1339,0.1224,0.1462,6167
4,Alle,Høyre,Liker,0.4727,0.4561,0.4893,6167
4,Alle,FrP,Misliker,0.6275,0.6108,0.6438,6166
4,Alle,FrP,Nøytral,0.1111,0.0997,0.1236,6166
4,Alle,FrP,Liker,0.2615,0.247,0.2765,6166
4,Alle,Venstre,Misliker,0.364,0.3482,0.3802,6130
4,Alle,Venstre,Nøytral,0.3165,0.3008,0.3327,6130
4,Alle,Venstre,Liker,0.3195,0.3043,0.335,6130
4,Alle,SV,Misliker,0.5107,0.494,0.5274,6139
4,Alle,SV,Nøytral,0.2337,0.2193,0.2487,6139
4,Alle,SV,Liker,0.2556,0.2416,0.2702,6139
4,Alle,Sp,Misliker,0.4106,0.3943,0.4271,6115
4,Alle,Sp,Nøytral,0.3518,0.3356,0.3683,6115
4,Alle,Sp,Liker,0.2376,0.224,0.2518,6115
4,Alle,MDG,Misliker,0.3064,0.2911,0.3221,6125
4,Alle,MDG,Nøytral,0.3578,0.3417,0.3742,6125
4,Alle,MDG,Liker,0.3358,0.3206,0.3514,6125
4,Alle,Ap,Misliker,0.2302,0.2163,0.2447,6157
4,Alle,Ap,Nøytral,0.1418,0.1299,0.1546,6157
4,Alle,Ap,Liker,0.628,0.6115,0.6443,6157
5,Alle,KrF,Misliker,0.4883,0.4701,0.5065,5371
5,Alle,KrF,Nøytral,0.2401,0.225,0.2559,5371
5,Alle,KrF,Liker,0.2716,0.2565,0.2873,5371
5,Alle,Høyre,Misliker,0.3254,0.3083,0.3429,5372
5,Alle,Høyre,Nøytral,0.1546,0.141,0.1693,5372
5,Alle,Høyre,Liker,0.52,0.5018,0.5382,5372
5,Alle,FrP,Misliker,0.5843,0.5661,0.6024,5371
5,Alle,FrP,Nøytral,0.1085,0.0967,0.1216,5371
5,Alle,FrP,Liker,0.3071,0.2904,0.3244,5371
5,Alle,Venstre,Misliker,0.3729,0.3551,0.3911,5349
5,Alle,Venstre,Nøytral,0.286,0.2698,0.3026,5349
5,Alle,Venstre,Liker,0.3411,0.3247,0.3579,5349
5,Alle,SV,Misliker,0.4874,0.4692,0.5056,5366
5,Alle,SV,Nøytral,0.2278,0.2125,0.2439,5366
5,Alle,SV,Liker,0.2848,0.2691,0.3011,5366
5,Alle,Sp,Misliker,0.338,0.3209,0.3555,5353
5,Alle,Sp,Nøytral,0.3447,0.3274,0.3623,5353
5,Alle,Sp,Liker,0.3174,0.301,0.3343,5353
5,Alle,MDG,Misliker,0.4798,0.4617,0.4981,5364
5,Alle,MDG,Nøytral,0.2038,0.189,0.2194,5364
5,Alle,MDG,Liker,0.3164,0.3002,0.3331,5364
5,Alle,Ap,Misliker,0.2464,0.2301,0.2635,5372
5,Alle,Ap,Nøytral,0.1406,0.1276,0.1546,5372
5,Alle,Ap,Liker,0.613,0.5945,0.6311,5372
6,Alle,KrF,Misliker,0.4963,0.4756,0.5171,4796
6,Alle,KrF,Nøytral,0.2647,0.246,0.2842,4796
6,Alle,KrF,Liker,0.239,0.2231,0.2556,4796
6,Alle,Høyre,Misliker,0.3384,0.319,0.3584,4799
6,Alle,Høyre,Nøytral,0.1487,0.1339,0.1647,4799
6,Alle,Høyre,Liker,0.5129,0.4922,0.5337,4799
6,Alle,FrP,Misliker,0.5697,0.5485,0.5906,4806
6,Alle,FrP,Nøytral,0.1076,0.0924,0.1251,4806
6,Alle,FrP,Liker,0.3227,0.3033,0.3428,4806
6,Alle,Venstre,Misliker,0.4595,0.4389,0.4802,4794
6,Alle,Venstre,Nøytral,0.2607,0.2419,0.2804,4794
6,Alle,Venstre,Liker,0.2799,0.2626,0.2977,4794
6,Alle,SV,Misliker,0.5297,0.5089,0.5504,4802
6,Alle,SV,Nøytral,0.2236,0.2054,0.2429,4802
6,Alle,SV,Liker,0.2467,0.2303,0.2638,4802
6,Alle,Sp,Misliker,0.3711,0.3512,0.3914,4793
6,Alle,Sp,Nøytral,0.3643,0.3451,0.384,4793
6,Alle,Sp,Liker,0.2646,0.246,0.284,4793
6,Alle,MDG,Misliker,0.5481,0.5276,0.5683,4805
6,Alle,MDG,Nøytral,0.1966,0.1807,0.2136,4805
6,Alle,MDG,Liker,0.2553,0.2392,0.2721,4805
6,Alle,Ap,Misliker,0.2863,0.2659,0.3076,4807
6,Alle,Ap,Nøytral,0.1647,0.1499,0.1807,4807
6,Alle,Ap,Liker,0.549,0.5279,0.57,4807
7,Alle,KrF,Misliker,0.5245,0.5036,0.5453,4600
7,Alle,KrF,Nøytral,0.248,0.2291,0.2679,4600
7,Alle,KrF,Liker,0.2275,0.212,0.2439,4600
7,Alle,Høyre,Misliker,0.3695,0.3495,0.39,4594
7,Alle,Høyre,Nøytral,0.1489,0.1331,0.1661,4594
7,Alle,Høyre,Liker,0.4816,0.4608,0.5024,4594
7,Alle,FrP,Misliker,0.5786,0.557,0.6,4597
7,Alle,FrP,Nøytral,0.1205,0.1046,0.1383,4597
7,Alle,FrP,Liker,0.3009,0.281,0.3216,4597
7,Alle,Venstre,Misliker,0.4696,0.4485,0.4907,4593
7,Alle,Venstre,Nøytral,0.2534,0.2361,0.2716,4593
7,Alle,Venstre,Liker,0.277,0.26,0.2947,4593
7,Alle,SV,Misliker,0.5191,0.4982,0.54,4593
7,Alle,SV,Nøytral,0.2229,0.2047,0.2422,4593
7,Alle,SV,Liker,0.258,0.2415,0.2752,4593
7,Alle,Sp,Misliker,0.3691,0.3491,0.3896,4595
7,Alle,Sp,Nøytral,0.3467,0.3274,0.3667,4595
7,Alle,Sp,Liker,0.2841,0.2654,0.3036,4595
7,Alle,MDG,Misliker,0.5717,0.5514,0.5918,4601
7,Alle,MDG,Nøytral,0.1851,0.17,0.2013,4601
7,Alle,MDG,Liker,0.2431,0.227,0.2601,4601
7,Alle,Ap,Misliker,0.2716,0.2516,0.2925,4608
7,Alle,Ap,Nøytral,0.149,0.1345,0.1648,4608
7,Alle,Ap,Liker,0.5794,0.558,0.6005,4608
9,Alle,KrF,Misliker,0.5136249,0.4960746,0.5311417,6741
9,Alle,KrF,Nøytral,0.2446173,0.2293658,0.2605401,6741
9,Alle,KrF,Liker,0.2417578,0.2269737,0.2571845,6741
